comments_count	country_code	created_at	creator_subscriptions	followers_count	followings_count	full_name	id	kind	likes_count	playlist_likes_count	verified	playlist_count	reposts_count	track_count	username	badges
0	None	2020-02-15T15:22:49Z	[{'product': {'id': 'free'}}]	362	0	Khanh Tran	781357750	user	1	0	False	2	None	3	Kane	{'pro': False, 'pro_unlimited': False, 'verified': False}
37	None	2013-01-12T07:24:41Z	[{'product': {'id': 'free'}}]	394	229	#BASS6	32617432	user	92	1	False	0	None	1	THINHHO	{'pro': False, 'pro_unlimited': False, 'verified': False}
23	VN	2016-06-16T09:40:22Z	[{'product': {'id': 'free'}}]	1930	39	Đặng Gia Linh	233983367	user	186	1	False	1	None	12	Đặng Gia Linh	{'pro': False, 'pro_unlimited': False, 'verified': False}
25	VN	2011-10-12T03:16:58Z	[{'product': {'id': 'creator-pro-unlimited'}}]	125961	47		8017962	user	1077	45	True	5	None	74	YC	{'pro': False, 'pro_unlimited': True, 'verified': True}
6	None	2019-05-30T13:34:29Z	[{'product': {'id': 'free'}}]	907	1	Fan cris28/1	644112135	user	26	1	False	0	None	18	Long Nguyễn	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	VN	2018-11-25T16:20:28Z	[{'product': {'id': 'free'}}]	216	5		545694561	user	130	1	False	2	None	9	Qi	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2021-08-17T04:23:53Z	[{'product': {'id': 'free'}}]	270	0		1019945140	user	25	1	False	1	None	31	MMusic	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	VN	2017-12-23T03:49:04Z	[{'product': {'id': 'free'}}]	695	0	lam quang	369774062	user	58	0	False	0	None	2	Lkang	{'pro': False, 'pro_unlimited': False, 'verified': False}
78	None	2016-10-01T21:34:50Z	[{'product': {'id': 'creator-pro-unlimited'}}]	2580	102	by Haustek Agency	258612226	user	125	7	False	31	None	396	Nyctophilia	{'pro': False, 'pro_unlimited': True, 'verified': False}
2	None	2021-03-28T10:36:39Z	[{'product': {'id': 'free'}}]	17	3	Phi Long Lê Hoàng	967186741	user	118	0	False	0	None	3	Lê Hoàng Phi Long	{'pro': False, 'pro_unlimited': False, 'verified': False}
7	VN	2012-03-12T05:52:32Z	[{'product': {'id': 'creator-pro-unlimited'}}]	32344	31	Cam Le Quach	13493463	user	18	0	True	3	None	38	Kimmese	{'pro': False, 'pro_unlimited': True, 'verified': True}
1274	VN	2013-03-12T13:42:24Z	[{'product': {'id': 'creator-pro-unlimited'}}]	20827	1969		38911229	user	1700	4	True	2	None	69	ShenlongZ	{'pro': False, 'pro_unlimited': True, 'verified': True}
38	VN	2018-11-04T08:54:58Z	[{'product': {'id': 'creator-pro-unlimited'}}]	300	64	Decabroda Music Vietnam	534519150	user	135	4	False	3	None	138	Decabroda Music Vietnam	{'pro': False, 'pro_unlimited': True, 'verified': False}
217	VN	2012-05-19T11:11:23Z	[{'product': {'id': 'creator-pro-unlimited'}}]	14144	69	Jaunty Maniacs	17172626	user	778	23	True	17	None	223	BeeBB	{'pro': False, 'pro_unlimited': True, 'verified': True}
8	VN	2015-08-10T08:19:20Z	[{'product': {'id': 'free'}}]	69	10	Đặng Anh Đức	167582100	user	42	0	False	0	None	9	Edward Dang	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2020-05-17T11:07:21Z	[{'product': {'id': 'free'}}]	60	5	ngoc minh	824793790	user	259	1	False	0	None	3	huh	{'pro': False, 'pro_unlimited': False, 'verified': False}
14	VN	2016-03-24T14:59:36Z	[{'product': {'id': 'free'}}]	4390	1	Vũ Nguyễn	214108729	user	3	0	False	0	None	14	VUX	{'pro': False, 'pro_unlimited': False, 'verified': False}
133	VN	2015-07-26T09:31:38Z	[{'product': {'id': 'creator-pro'}}]	24303	83	pacman.	165032501	user	2094	29	True	6	None	84	RPT Phongkhin	{'pro': True, 'pro_unlimited': False, 'verified': True}
1	VN	2021-09-13T02:16:05Z	[{'product': {'id': 'free'}}]	54	1	Trạm Nhạc Cũ	1029635722	user	10	0	False	0	None	7	TanDat Official	{'pro': False, 'pro_unlimited': False, 'verified': False}
1	VN	2017-08-11T05:12:12Z	[{'product': {'id': 'free'}}]	1614	19	Bla Bla	325466942	user	244	0	False	0	None	7	Jay Li	{'pro': False, 'pro_unlimited': False, 'verified': False}
5	VN	2021-05-04T13:34:04Z	[{'product': {'id': 'free'}}]	127	0	Bắc Đặng	981259849	user	94	0	False	0	None	6	Bộp🍁	{'pro': False, 'pro_unlimited': False, 'verified': False}
255	VN	2013-11-07T16:14:31Z	[{'product': {'id': 'free'}}]	2092	100	Lê Minh Chức	65413654	user	333	10	False	6	None	32	Cofm ♫	{'pro': False, 'pro_unlimited': False, 'verified': False}
154	None	2012-01-03T11:12:19Z	[{'product': {'id': 'free'}}]	51916	25		10407043	user	75	0	True	0	None	54	Andiez	{'pro': False, 'pro_unlimited': False, 'verified': True}
0	VN	2015-12-11T09:14:47Z	[{'product': {'id': 'free'}}]	624	6	Vo Ngoc Bao	192375475	user	22	0	False	4	None	14	Vo Ngoc Bao	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2018-12-09T13:30:05Z	[{'product': {'id': 'free'}}]	1234	2		552829575	user	234	1	False	0	None	9	tp	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	None	2012-12-25T00:45:50Z	[{'product': {'id': 'creator-pro-unlimited'}}]	50953	10	TIEN	31184388	user	20	1	True	5	None	16	TIEN TIEN	{'pro': False, 'pro_unlimited': True, 'verified': True}
1	None	2021-07-13T23:49:54Z	[{'product': {'id': 'free'}}]	1442	0		1007825434	user	34	0	False	0	None	13	𝟹 𝟷 𝟶 𝟽	{'pro': False, 'pro_unlimited': False, 'verified': False}
153	VN	2018-11-10T05:50:16Z	[{'product': {'id': 'free'}}]	1861	43		537653625	user	278	2	False	2	None	32	Gii	{'pro': False, 'pro_unlimited': False, 'verified': False}
1	VN	2016-04-02T00:12:06Z	[{'product': {'id': 'creator-pro'}}]	539	3	Phan Võ Thanh Hùng	216238263	user	4	0	False	2	None	96	Akira Phan	{'pro': True, 'pro_unlimited': False, 'verified': False}
0	None	2021-01-13T11:13:13Z	[{'product': {'id': 'free'}}]	36	0	Tuyền Tuyền	933469252	user	46	0	False	0	None	4	TT	{'pro': False, 'pro_unlimited': False, 'verified': False}
62	VN	2018-06-26T01:59:20Z	[{'product': {'id': 'creator-pro-unlimited'}}]	9340	13	Dang Nhut Hao	468581451	user	479	12	True	3	None	39	Hawys.	{'pro': False, 'pro_unlimited': True, 'verified': True}
227	None	2015-03-22T07:41:59Z	[{'product': {'id': 'creator-pro-unlimited'}}]	14407	111	Bệu - Lennie	144468830	user	86	0	False	11	None	21	Khoi Vu	{'pro': False, 'pro_unlimited': True, 'verified': False}
2	None	2018-11-22T05:01:08Z	[{'product': {'id': 'free'}}]	93	1	Danh	543957213	user	45	0	False	2	None	33	Danh	{'pro': False, 'pro_unlimited': False, 'verified': False}
13	VN	2012-08-13T10:26:32Z	[{'product': {'id': 'free'}}]	282	6	Orion Bui	22063637	user	41	1	False	1	None	47	Orion Bui	{'pro': False, 'pro_unlimited': False, 'verified': False}
46	VN	2016-02-23T05:49:43Z	[{'product': {'id': 'creator-pro-unlimited'}}]	9517	3		207919082	user	55	3	True	4	None	54	NOT AFRAID MUSIC	{'pro': False, 'pro_unlimited': True, 'verified': True}
167	VN	2020-11-15T22:40:15Z	[{'product': {'id': 'creator-pro-unlimited'}}]	3033	6	Hoang Quoc Khanh	907756987	user	350	0	False	0	None	20	TEDDY	{'pro': False, 'pro_unlimited': True, 'verified': False}
0	VN	2017-02-17T16:58:20Z	[{'product': {'id': 'creator-pro-unlimited'}}]	1042	5	Dreamble	289593202	user	3	0	False	0	None	9	Dreamble	{'pro': False, 'pro_unlimited': True, 'verified': False}
6	None	2018-05-19T10:15:21Z	[{'product': {'id': 'free'}}]	1783	56	I Am Japand	450976719	user	931	1	False	3	None	12	mnhat.peo	{'pro': False, 'pro_unlimited': False, 'verified': False}
2	CA	2018-04-05T23:01:32Z	[{'product': {'id': 'free'}}]	1992	25	Tui Trả	428825211	user	166	1	False	9	None	23	Anh Minh	{'pro': False, 'pro_unlimited': False, 'verified': False}
29	VN	2019-09-01T03:36:27Z	[{'product': {'id': 'free'}}]	733	21		693632069	user	216	2	False	2	None	49	ZRECORDS	{'pro': False, 'pro_unlimited': False, 'verified': False}
148	None	2018-12-21T11:52:49Z	[{'product': {'id': 'free'}}]	2170	123	n g u y e n v a n q u y e n	558782892	user	155	1	False	1	None	46	Luxøfons	{'pro': False, 'pro_unlimited': False, 'verified': False}
36	None	2011-04-02T08:37:15Z	[{'product': {'id': 'creator-pro-unlimited'}}]	32682	416		3972911	user	74	10	True	7	None	29	Onionn.	{'pro': False, 'pro_unlimited': True, 'verified': True}
1	None	2012-05-25T14:59:37Z	[{'product': {'id': 'free'}}]	580	0	mix199 Official	17521005	user	7	0	False	0	None	4	mix199 Official	{'pro': False, 'pro_unlimited': False, 'verified': False}
8	VN	2021-07-19T03:35:39Z	[{'product': {'id': 'free'}}]	117	4	Mai Dũng	1009622581	user	80	0	False	0	None	4	Mai Dũng	{'pro': False, 'pro_unlimited': False, 'verified': False}
15	VN	2018-10-01T07:31:26Z	[{'product': {'id': 'free'}}]	1368	1		516919608	user	11	0	False	0	None	5	LV	{'pro': False, 'pro_unlimited': False, 'verified': False}
13	None	2020-07-12T11:16:51Z	[{'product': {'id': 'creator-pro-unlimited'}}]	88	4	Trần Anh Vỹ	851838301	user	26	0	False	0	None	17	Trần Anh Vỹ	{'pro': False, 'pro_unlimited': True, 'verified': False}
243	VN	2017-08-22T13:00:42Z	[{'product': {'id': 'creator-pro-unlimited'}}]	6188	230	Mee Media	327698020	user	136	0	False	0	None	15	Mee Music	{'pro': False, 'pro_unlimited': True, 'verified': False}
8	None	2021-01-16T15:08:32Z	[{'product': {'id': 'free'}}]	749	4		934915165	user	31	0	False	0	None	51	*+ slowed vibes +**	{'pro': False, 'pro_unlimited': False, 'verified': False}
37	VN	2018-02-19T15:15:27Z	[{'product': {'id': 'free'}}]	1889	6	Binh Nguyen Phu	402562035	user	30	2	False	0	None	6	PhuBinh	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	None	2020-07-03T15:03:05Z	[{'product': {'id': 'free'}}]	141	0		847541074	user	46	0	False	1	None	21	Tunalee_06	{'pro': False, 'pro_unlimited': False, 'verified': False}
47	None	2017-10-07T14:33:11Z	[{'product': {'id': 'free'}}]	2104	12		336636319	user	47	1	False	1	None	6	fishy	{'pro': False, 'pro_unlimited': False, 'verified': False}
186	None	2015-11-03T10:56:23Z	[{'product': {'id': 'free'}}]	40748	97	The 1st GERDNANG	184458551	user	245	2	True	1	None	16	HIEUTHUHAI	{'pro': False, 'pro_unlimited': False, 'verified': True}
0	None	2016-10-13T13:56:51Z	[{'product': {'id': 'free'}}]	617	4	Đức Anh	261245869	user	48	0	False	1	None	24	Đức Anh	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	None	2021-06-23T17:12:53Z	[{'product': {'id': 'free'}}]	30	0	Huy Thanh	1000461973	user	10	1	False	1	None	3	Thanh Huy	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2021-03-04T17:45:09Z	[{'product': {'id': 'free'}}]	156	0	Shiraz de Médicis	956401819	user	24	0	False	0	None	22	Shiraz	{'pro': False, 'pro_unlimited': False, 'verified': False}
134	None	2020-03-02T11:31:22Z	[{'product': {'id': 'free'}}]	4425	4	Wtonn	788297389	user	13	0	False	2	None	37	𝚒 𝚑𝚊𝚟𝚎 𝚊 𝚜𝚕𝚘𝚠𝚎𝚍 𝚜𝚘𝚗𝚐	{'pro': False, 'pro_unlimited': False, 'verified': False}
87	VN	2013-04-18T05:25:33Z	[{'product': {'id': 'creator-pro-unlimited'}}]	55629	118	Một Người	42171346	user	53	2	False	0	None	46	Táo	{'pro': False, 'pro_unlimited': True, 'verified': False}
5	VN	2018-06-25T04:20:17Z	[{'product': {'id': 'free'}}]	658	0	Hưng Vũ	468124167	user	172	0	False	3	None	12	𝚑𝚞𝚠𝚗𝚐	{'pro': False, 'pro_unlimited': False, 'verified': False}
6	None	2016-04-03T03:43:01Z	[{'product': {'id': 'free'}}]	47	18	Jayson Tod	216573836	user	20	1	False	3	None	3	Ozone	{'pro': False, 'pro_unlimited': False, 'verified': False}
1	None	2020-04-13T14:18:16Z	[{'product': {'id': 'free'}}]	896	0	JUUN D	809069356	user	0	0	True	1	None	5	JUUN D	{'pro': False, 'pro_unlimited': False, 'verified': True}
1	VN	2020-06-28T09:55:23Z	[{'product': {'id': 'free'}}]	476	0	Ngoc Bich	845045503	user	76	0	False	0	None	16	Zanbnoc_	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2020-12-19T15:45:13Z	[{'product': {'id': 'free'}}]	292	0	Quang Hà	922464232	user	0	0	False	0	None	4	Quang	{'pro': False, 'pro_unlimited': False, 'verified': False}
7	None	2014-05-31T14:40:26Z	[{'product': {'id': 'free'}}]	533	1	Tee	97511309	user	99	1	False	0	None	58	VeeTee	{'pro': False, 'pro_unlimited': False, 'verified': False}
10	VN	2020-10-27T18:37:11Z	[{'product': {'id': 'free'}}]	225	6		899336539	user	23	0	False	0	None	5	boy in da hood	{'pro': False, 'pro_unlimited': False, 'verified': False}
21	VN	2021-03-31T09:28:48Z	[{'product': {'id': 'free'}}]	448	2	Quyên Quyên	968380618	user	8	0	False	0	None	20	babiiii😩✨	{'pro': False, 'pro_unlimited': False, 'verified': False}
9	VN	2014-02-25T13:38:18Z	[{'product': {'id': 'free'}}]	12473	49	Bùi Thanh	81889058	user	36	0	True	0	None	28	D.Blue	{'pro': False, 'pro_unlimited': False, 'verified': True}
11	None	2014-07-12T10:21:07Z	[{'product': {'id': 'free'}}]	2952	9		104252977	user	239	1	False	0	None	7	yafu	{'pro': False, 'pro_unlimited': False, 'verified': False}
8	VN	2012-09-06T06:43:21Z	[{'product': {'id': 'creator-pro-unlimited'}}]	668	16		23589786	user	61	2	False	3	None	11	Vu Ngan My	{'pro': False, 'pro_unlimited': True, 'verified': False}
11	VN	2016-05-04T14:03:47Z	[{'product': {'id': 'free'}}]	339	64		224371603	user	89	4	False	1	None	19	tad	{'pro': False, 'pro_unlimited': False, 'verified': False}
60	None	2012-02-09T14:56:15Z	[{'product': {'id': 'free'}}]	205309	32	Hoang Thai Vu	11854629	user	37	7	True	3	None	63	Vũ,	{'pro': False, 'pro_unlimited': False, 'verified': True}
0	None	2020-11-08T13:36:44Z	[{'product': {'id': 'free'}}]	281	5	Phú Hoàng	904514899	user	16	2	False	2	None	1	punnas	{'pro': False, 'pro_unlimited': False, 'verified': False}
195	VN	2013-05-13T08:09:02Z	[{'product': {'id': 'creator-pro-unlimited'}}]	30904	15		44615530	user	1128	10	True	4	None	42	SONBEAT	{'pro': False, 'pro_unlimited': True, 'verified': True}
1	VN	2015-10-22T09:28:25Z	[{'product': {'id': 'free'}}]	586	8	Louis Vent	182145671	user	91	0	False	0	None	14	lóuse	{'pro': False, 'pro_unlimited': False, 'verified': False}
18	None	2021-01-01T03:24:41Z	[{'product': {'id': 'free'}}]	1644	0	Quốc Đạt	928111009	user	109	1	False	0	None	14	Liam	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	None	2019-12-08T06:54:22Z	[{'product': {'id': 'free'}}]	540	0	Mint 00322	745843696	user	22	0	False	0	None	11	MINT	{'pro': False, 'pro_unlimited': False, 'verified': False}
311	VN	2015-09-11T16:00:47Z	[{'product': {'id': 'free'}}]	1390	102		173816080	user	168	0	False	0	None	6	Gia Cát Thạch	{'pro': False, 'pro_unlimited': False, 'verified': False}
1	VN	2014-10-30T18:00:51Z	[{'product': {'id': 'free'}}]	23	10	Hoàng Thúc Huy	120580085	user	101	1	False	0	None	7	Yuh.1396	{'pro': False, 'pro_unlimited': False, 'verified': False}
2	VN	2018-09-03T03:56:48Z	[{'product': {'id': 'free'}}]	476	0	Trúc Võ	503225223	user	1	1	False	0	None	13	Thanh Truc Vo	{'pro': False, 'pro_unlimited': False, 'verified': False}
5	VN	2021-03-21T15:52:54Z	[{'product': {'id': 'free'}}]	535	0		964298233	user	3	1	False	1	None	32	NH4T	{'pro': False, 'pro_unlimited': False, 'verified': False}
36	VN	2021-08-26T02:11:53Z	[{'product': {'id': 'free'}}]	84	2	Tien Trinh	1023224500	user	44	0	False	0	None	28	itsjeongyn	{'pro': False, 'pro_unlimited': False, 'verified': False}
170	None	2020-04-04T03:32:19Z	[{'product': {'id': 'free'}}]	843	32	Hong Son Do	804206584	user	12	0	False	0	None	8	Cloud 5	{'pro': False, 'pro_unlimited': False, 'verified': False}
32	VN	2020-02-12T09:50:00Z	[{'product': {'id': 'free'}}]	2892	0	H2 Entertainment	779888590	user	34	0	True	0	None	29	Hieuz ♪	{'pro': False, 'pro_unlimited': False, 'verified': True}
13	VN	2020-10-02T16:11:20Z	[{'product': {'id': 'free'}}]	275	31	Tiến Lương Thanh	888912736	user	37	0	False	3	None	2	Kevinnnz	{'pro': False, 'pro_unlimited': False, 'verified': False}
2	VN	2018-05-08T09:39:41Z	[{'product': {'id': 'creator-pro-unlimited'}}]	1026	14	LilGee Phạm	445444971	user	39	0	False	0	None	40	LilGee Pham	{'pro': False, 'pro_unlimited': True, 'verified': False}
15	None	2017-04-29T15:37:51Z	[{'product': {'id': 'creator-pro-unlimited'}}]	2836	155		304350127	user	643	24	True	2	None	11	teeayz	{'pro': False, 'pro_unlimited': True, 'verified': True}
396	VN	2019-02-11T12:27:04Z	[{'product': {'id': 'creator-pro-unlimited'}}]	815	107	Hậu Nguyễn	587430921	user	118	2	False	1	None	23	F2 RECORDS	{'pro': False, 'pro_unlimited': True, 'verified': False}
0	None	2017-09-14T11:03:15Z	[{'product': {'id': 'free'}}]	596	51	Lương Trần	332198640	user	2	0	False	4	None	3	Trần Trọng Lương	{'pro': False, 'pro_unlimited': False, 'verified': False}
7	VN	2021-08-26T13:13:25Z	[{'product': {'id': 'free'}}]	48	0	Huy Hoàng	1023364738	user	35	0	False	2	None	7	Huy Hoàng	{'pro': False, 'pro_unlimited': False, 'verified': False}
13	None	2015-12-12T03:54:08Z	[{'product': {'id': 'free'}}]	6911	8		192540869	user	19	0	False	0	None	22	ACENS	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2019-01-28T00:17:19Z	[{'product': {'id': 'free'}}]	684	1	beauty gơ	579206571	user	66	1	False	0	None	17	sadgrl	{'pro': False, 'pro_unlimited': False, 'verified': False}
23	VN	2016-01-19T15:51:29Z	[{'product': {'id': 'free'}}]	931	51	Duc Son.	200527190	user	416	4	False	3	None	7	Shaun	{'pro': False, 'pro_unlimited': False, 'verified': False}
21	None	2018-11-16T15:21:43Z	[{'product': {'id': 'free'}}]	1769	51	Ngaa	541087959	user	261	0	False	1	None	7	Mie	{'pro': False, 'pro_unlimited': False, 'verified': False}
2	None	2020-01-15T12:52:47Z	[{'product': {'id': 'free'}}]	152	0		765929488	user	295	0	False	0	None	17	quiniel	{'pro': False, 'pro_unlimited': False, 'verified': False}
1	None	2017-10-04T04:03:37Z	[{'product': {'id': 'free'}}]	577	7	Phú Nguyễn	335980440	user	92	3	False	0	None	4	PhuTs EDM	{'pro': False, 'pro_unlimited': False, 'verified': False}
77	ID	2010-08-31T08:59:18Z	[{'product': {'id': 'creator-pro'}}]	443	8	Deon Oxivar	1613641	user	230	16	False	3	None	121	DEON OXIVAR	{'pro': True, 'pro_unlimited': False, 'verified': False}
53	VN	2017-12-14T13:25:40Z	[{'product': {'id': 'creator-pro'}}]	20065	69	Charlesnkeys	365042720	user	19	2	False	10	None	95	CHARLES.	{'pro': True, 'pro_unlimited': False, 'verified': False}
8	VN	2020-12-29T09:35:17Z	[{'product': {'id': 'free'}}]	277	23		926858524	user	39	1	False	1	None	32	DeeYouSee	{'pro': False, 'pro_unlimited': False, 'verified': False}
35	None	2021-09-29T02:52:11Z	[{'product': {'id': 'free'}}]	35	0	Đức Nguyễn	1035308089	user	3	0	False	0	None	3	X.O Chill	{'pro': False, 'pro_unlimited': False, 'verified': False}
3	None	2018-06-28T02:20:47Z	[{'product': {'id': 'free'}}]	5	1		469654980	user	1	0	False	0	None	1	mailam	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	None	2012-05-22T20:41:07Z	[{'product': {'id': 'creator-pro-unlimited'}}]	79	1	Maxwell Lau	17365220	user	5	0	False	1	None	7	Maxwell Lau	{'pro': False, 'pro_unlimited': True, 'verified': False}
0	None	2017-12-09T10:54:44Z	[{'product': {'id': 'free'}}]	370	5	Diệu Lê	362282600	user	434	0	False	0	None	2	Diệu Lê	{'pro': False, 'pro_unlimited': False, 'verified': False}
1	VN	2012-08-31T12:49:28Z	[{'product': {'id': 'creator-pro-unlimited'}}]	6578	4	Glee Ams	23224057	user	70	3	False	9	None	106	Glee Ams	{'pro': False, 'pro_unlimited': True, 'verified': False}
0	None	2021-05-22T20:17:01Z	[{'product': {'id': 'free'}}]	1956	14		988114459	user	2	0	False	0	None	46	Atfara Music	{'pro': False, 'pro_unlimited': False, 'verified': False}
7	VN	2019-04-12T16:14:50Z	[{'product': {'id': 'free'}}]	27	5	Phúc Nhân	620346753	user	45	1	False	1	None	1	Phuc Nhan	{'pro': False, 'pro_unlimited': False, 'verified': False}
742	None	2019-07-15T14:36:15Z	[{'product': {'id': 'free'}}]	962	1192		668180066	user	835	1	False	0	None	3	bac mt	{'pro': False, 'pro_unlimited': False, 'verified': False}
410	None	2017-10-24T01:23:48Z	[{'product': {'id': 'creator-pro-unlimited'}}]	70085	1	DJ Bình Hồ	339703367	user	167	0	True	0	None	20	Bình Hồ Official	{'pro': False, 'pro_unlimited': True, 'verified': True}
0	None	2021-08-20T00:50:10Z	[{'product': {'id': 'free'}}]	25	0	caoanh tuan	1020970729	user	2	0	False	0	None	4	caoanh tuan	{'pro': False, 'pro_unlimited': False, 'verified': False}
85	VN	2019-07-06T03:25:16Z	[{'product': {'id': 'creator-pro-unlimited'}}]	468	17		663419523	user	1538	0	False	0	None	56	Dương One	{'pro': False, 'pro_unlimited': True, 'verified': False}
1	VN	2021-06-11T01:52:59Z	[{'product': {'id': 'creator-pro-unlimited'}}]	10613	290	Do Giang	995776105	user	405	0	True	3	None	150	Future Da Producer	{'pro': False, 'pro_unlimited': True, 'verified': True}
343	VN	2019-10-22T14:38:36Z	[{'product': {'id': 'creator-pro-unlimited'}}]	5401	272	Hinh Nguyễn	722083078	user	424	2	False	2	None	98	DJ KATANA	{'pro': False, 'pro_unlimited': True, 'verified': False}
488	AU	2020-05-25T07:31:34Z	[{'product': {'id': 'creator-pro-unlimited'}}]	27884	36		828609808	user	68	2	False	2	None	12	BroBear Remix	{'pro': False, 'pro_unlimited': True, 'verified': False}
0	None	2021-06-05T16:38:08Z	[{'product': {'id': 'free'}}]	38	0		993484903	user	5	0	False	0	None	5	User 976661844	{'pro': False, 'pro_unlimited': False, 'verified': False}
12	VN	2020-11-06T11:17:41Z	[{'product': {'id': 'free'}}]	439	12	Dương Hoàng Dương	903654694	user	27	0	False	0	None	36	Yang Remix (Chính Chủ)	{'pro': False, 'pro_unlimited': False, 'verified': False}
19	VN	2021-07-18T19:18:23Z	[{'product': {'id': 'creator-pro-unlimited'}}]	917	9	Nguyễn Hoàng Châu	1009505371	user	24	2	False	1	None	12	Hoàng Châu Media (808 Team)	{'pro': False, 'pro_unlimited': True, 'verified': False}
30	None	2020-02-01T10:59:54Z	[{'product': {'id': 'free'}}]	1025	54		775062226	user	30	1	False	0	None	4	BongTran	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2020-07-11T15:09:21Z	[{'product': {'id': 'free'}}]	83	2	Duong Nguyen	851458042	user	0	0	False	0	None	4	DuongNguye1	{'pro': False, 'pro_unlimited': False, 'verified': False}
24	None	2020-08-22T05:26:39Z	[{'product': {'id': 'creator-pro-unlimited'}}]	23372	49	Phi Thành Official	871001227	user	27	0	True	0	None	10	Phi Thành Official	{'pro': False, 'pro_unlimited': True, 'verified': True}
3	VN	2021-01-08T09:30:30Z	[{'product': {'id': 'free'}}]	706	4	LDL Entertainment	931204738	user	79	24	False	10	None	13	LDL Entertainment	{'pro': False, 'pro_unlimited': False, 'verified': False}
